time_utc,amp_m
2026-04-01 12:00:00,-0.0011353
2026-04-01 12:01:00,-0.0011348
2026-04-01 12:02:00,-0.0011334
2026-04-01 12:03:00,-0.0011344
2026-04-01 12:04:00,-0.0011488
2026-04-01 12:05:00,-0.0011394
2026-04-01 12:06:00,-0.00063643
2026-04-01 12:07:00,-0.00061899
2026-04-01 12:08:00,-0.00058659
2026-04-01 12:09:00,-0.00065812
2026-04-01 12:10:00,-0.00063156
2026-04-01 12:11:00,-0.00064644
2026-04-01 12:12:00,-0.000681
2026-04-01 12:13:00,-0.00068899
2026-04-01 12:14:00,-0.00066595
2026-04-01 12:15:00,-0.00042771
2026-04-01 12:16:00,-0.00065377
2026-04-01 12:17:00,-0.00070154
2026-04-01 12:18:00,-0.00072669
2026-04-01 12:19:00,-0.0008001
2026-04-01 12:20:00,-0.0008563
2026-04-01 12:21:00,-0.00089216
2026-04-01 12:22:00,-0.0009979
2026-04-01 12:23:00,-0.0012512
2026-04-01 12:24:00,-0.0011294
2026-04-01 12:25:00,-0.0012105
2026-04-01 12:26:00,-0.0012374
2026-04-01 12:27:00,-0.0011964
2026-04-01 12:28:00,-0.0010625
2026-04-01 12:29:00,-0.00059288
2026-04-01 12:30:00,0.00055215
2026-04-01 12:31:00,0.0041072
2026-04-01 12:32:00,0.016128
2026-04-01 12:33:00,0.029758
2026-04-01 12:34:00,0.028184
2026-04-01 12:35:00,0.015524
2026-04-01 12:36:00,0.012518
2026-04-01 12:37:00,0.0085303
2026-04-01 12:38:00,0.0034301
2026-04-01 12:39:00,0.0020955
2026-04-01 12:40:00,4.5553e-05
2026-04-01 12:41:00,-0.0028074
2026-04-01 12:42:00,-0.0059265
2026-04-01 12:43:00,-0.0079515
2026-04-01 12:44:00,-0.0047528
2026-04-01 12:45:00,-0.0017556
2026-04-01 12:46:00,0.00075194
2026-04-01 12:47:00,0.00090372
2026-04-01 12:48:00,0.00087823
2026-04-01 12:49:00,0.00024501
2026-04-01 12:50:00,0.00035892
2026-04-01 12:51:00,-0.00032397
2026-04-01 12:52:00,4.4347e-05
2026-04-01 12:53:00,-0.00053486
2026-04-01 12:54:00,3.4546e-05
2026-04-01 12:55:00,-0.00037699
2026-04-01 12:56:00,-0.00024715
2026-04-01 12:57:00,-0.0010218
2026-04-01 12:58:00,-0.0010511
2026-04-01 12:59:00,-0.001227
2026-04-01 13:00:00,-0.00045653
2026-04-01 13:01:00,-0.00057788
2026-04-01 13:02:00,-0.0011623
2026-04-01 13:03:00,-0.00082239
2026-04-01 13:04:00,-0.0011497
2026-04-01 13:05:00,-0.00059657
2026-04-01 13:06:00,0.00043071
2026-04-01 13:07:00,0.0020388
2026-04-01 13:08:00,0.005261
2026-04-01 13:09:00,0.0042957
2026-04-01 13:10:00,0.0049764
2026-04-01 13:11:00,0.0041546
2026-04-01 13:12:00,0.0025744
2026-04-01 13:13:00,0.0018385
2026-04-01 13:14:00,0.0015087
2026-04-01 13:15:00,0.0011156
2026-04-01 13:16:00,0.00090584
2026-04-01 13:17:00,0.00026481
2026-04-01 13:18:00,-0.00040834
2026-04-01 13:19:00,-0.00040582
2026-04-01 13:20:00,-0.00023062
2026-04-01 13:21:00,8.3641e-06
2026-04-01 13:22:00,0.00025612
2026-04-01 13:23:00,0.00046932
2026-04-01 13:24:00,0.00048946
2026-04-01 13:25:00,0.00055917
2026-04-01 13:26:00,0.00065609
2026-04-01 13:27:00,0.00066389
2026-04-01 13:28:00,0.00055613
2026-04-01 13:29:00,0.0004452
2026-04-01 13:30:00,0.00039294
2026-04-01 13:31:00,0.00040494
2026-04-01 13:32:00,0.00043846
2026-04-01 13:33:00,0.00041113
2026-04-01 13:34:00,0.00028773
2026-04-01 13:35:00,0.00011645
2026-04-01 13:36:00,7.1916e-05
2026-04-01 13:37:00,0.00010109
2026-04-01 13:38:00,0.00023228
2026-04-01 13:39:00,0.0003487
2026-04-01 13:40:00,0.00039748
2026-04-01 13:41:00,0.00026318
2026-04-01 13:42:00,3.0665e-05
2026-04-01 13:43:00,-0.00011492
2026-04-01 13:44:00,-4.7331e-05
2026-04-01 13:45:00,5.5405e-05
2026-04-01 13:46:00,0.00016324
2026-04-01 13:47:00,6.7471e-05
2026-04-01 13:48:00,-6.1745e-05
2026-04-01 13:49:00,-0.00020153
2026-04-01 13:50:00,-4.2972e-05
2026-04-01 13:51:00,0.00020566
2026-04-01 13:52:00,0.00029872
2026-04-01 13:53:00,-9.4872e-06
2026-04-01 13:54:00,-0.00025464
2026-04-01 13:55:00,-0.00017561
2026-04-01 13:56:00,-2.8028e-05
2026-04-01 13:57:00,-0.00024043
2026-04-01 13:58:00,-0.00059901
2026-04-01 13:59:00,-0.00048886
2026-04-01 14:00:00,-8.1729e-05
2026-04-01 14:01:00,-5.7759e-06
2026-04-01 14:02:00,-0.0003875
2026-04-01 14:03:00,-0.00031259
2026-04-01 14:04:00,0.0001831
2026-04-01 14:05:00,0.00027404
2026-04-01 14:06:00,9.4513e-06
2026-04-01 14:07:00,0.00025409
2026-04-01 14:08:00,0.00071673
2026-04-01 14:09:00,0.00038893
2026-04-01 14:10:00,-7.7411e-05
2026-04-01 14:11:00,6.8702e-05
2026-04-01 14:12:00,0.0001266
2026-04-01 14:13:00,-0.0001578
2026-04-01 14:14:00,2.6988e-05
2026-04-01 14:15:00,0.000362
2026-04-01 14:16:00,0.00015761
2026-04-01 14:17:00,-0.00012327
2026-04-01 14:18:00,-0.00015348
2026-04-01 14:19:00,-0.00027415
2026-04-01 14:20:00,-0.00021442
2026-04-01 14:21:00,0.00012268
2026-04-01 14:22:00,2.3888e-05
2026-04-01 14:23:00,-0.00027195
2026-04-01 14:24:00,-0.00011466
2026-04-01 14:25:00,0.00022043
2026-04-01 14:26:00,0.00068777
2026-04-01 14:27:00,0.0014167
2026-04-01 14:28:00,0.0020902
2026-04-01 14:29:00,0.00289
2026-04-01 14:30:00,0.0037687
2026-04-01 14:31:00,0.0043782
2026-04-01 14:32:00,0.0048986
2026-04-01 14:33:00,0.0050417
2026-04-01 14:34:00,0.0044056
2026-04-01 14:35:00,0.0041117
2026-04-01 14:36:00,0.0052207
2026-04-01 14:37:00,0.0067334
2026-04-01 14:38:00,0.0078293
