time_utc,amp_m
2026-04-01 12:00:00,-0.0037517
2026-04-01 12:01:00,-0.003773
2026-04-01 12:02:00,-0.0038402
2026-04-01 12:03:00,-0.0039561
2026-04-01 12:04:00,-0.0041257
2026-04-01 12:05:00,-0.004357
2026-04-01 12:06:00,-0.0046619
2026-04-01 12:07:00,-0.0050546
2026-04-01 12:08:00,-0.0055551
2026-04-01 12:09:00,-0.0061903
2026-04-01 12:10:00,-0.0069936
2026-04-01 12:11:00,-0.0079799
2026-04-01 12:12:00,-0.0091476
2026-04-01 12:13:00,-0.010387
2026-04-01 12:14:00,-0.011377
2026-04-01 12:15:00,-0.011447
2026-04-01 12:16:00,-0.0096323
2026-04-01 12:17:00,-0.0051308
2026-04-01 12:18:00,0.0020718
2026-04-01 12:19:00,0.011227
2026-04-01 12:20:00,0.021529
2026-04-01 12:21:00,0.033039
2026-04-01 12:22:00,0.046541
2026-04-01 12:23:00,0.053265
2026-04-01 12:24:00,0.037852
2026-04-01 12:25:00,0.028939
2026-04-01 12:26:00,0.022574
2026-04-01 12:27:00,0.018596
2026-04-01 12:28:00,0.014527
2026-04-01 12:29:00,0.0091057
2026-04-01 12:30:00,0.00089791
2026-04-01 12:31:00,-0.011331
2026-04-01 12:32:00,-0.026043
2026-04-01 12:33:00,-0.03057
2026-04-01 12:34:00,-0.019614
2026-04-01 12:35:00,-0.015274
2026-04-01 12:36:00,-0.011123
2026-04-01 12:37:00,-0.0092568
2026-04-01 12:38:00,-0.0075331
2026-04-01 12:39:00,-0.0061238
2026-04-01 12:40:00,-0.0051321
2026-04-01 12:41:00,-0.0043762
2026-04-01 12:42:00,-0.0036877
2026-04-01 12:43:00,-0.0029468
2026-04-01 12:44:00,-0.0022734
2026-04-01 12:45:00,-0.0017909
2026-04-01 12:46:00,-0.00087369
2026-04-01 12:47:00,-0.00022862
2026-04-01 12:48:00,0.0011377
2026-04-01 12:49:00,0.0024832
2026-04-01 12:50:00,0.0035215
2026-04-01 12:51:00,0.0044229
2026-04-01 12:52:00,0.0054602
2026-04-01 12:53:00,0.0047408
2026-04-01 12:54:00,0.0035144
2026-04-01 12:55:00,0.0045666
2026-04-01 12:56:00,0.0034675
2026-04-01 12:57:00,0.003306
2026-04-01 12:58:00,0.0029201
2026-04-01 12:59:00,0.0022267
2026-04-01 13:00:00,0.0015109
2026-04-01 13:01:00,0.00093097
2026-04-01 13:02:00,0.00043907
2026-04-01 13:03:00,-3.1532e-05
2026-04-01 13:04:00,-0.00030171
2026-04-01 13:05:00,-0.0006925
2026-04-01 13:06:00,-0.00097626
2026-04-01 13:07:00,-0.00094228
2026-04-01 13:08:00,-0.00026484
2026-04-01 13:09:00,-0.0011766
2026-04-01 13:10:00,-0.00057476
2026-04-01 13:11:00,-0.0019757
2026-04-01 13:12:00,-0.00055531
2026-04-01 13:13:00,-0.0011281
2026-04-01 13:14:00,-0.0013838
2026-04-01 13:15:00,9.0944e-05
2026-04-01 13:16:00,-0.0014301
2026-04-01 13:17:00,-0.00081576
2026-04-01 13:18:00,-0.0009156
2026-04-01 13:19:00,0.0007072
2026-04-01 13:20:00,0.0019245
2026-04-01 13:21:00,0.0070375
2026-04-01 13:22:00,0.014626
2026-04-01 13:23:00,0.021037
2026-04-01 13:24:00,0.018427
2026-04-01 13:25:00,0.015035
2026-04-01 13:26:00,0.011727
2026-04-01 13:27:00,0.006976
2026-04-01 13:28:00,0.0028197
2026-04-01 13:29:00,0.001111
2026-04-01 13:30:00,0.0012476
2026-04-01 13:31:00,-0.0012173
2026-04-01 13:32:00,-0.005998
2026-04-01 13:33:00,-0.012057
2026-04-01 13:34:00,-0.018188
2026-04-01 13:35:00,-0.014789
2026-04-01 13:36:00,-0.0065938
2026-04-01 13:37:00,-0.0055603
2026-04-01 13:38:00,-0.0028692
2026-04-01 13:39:00,-0.00072493
2026-04-01 13:40:00,0.00045875
2026-04-01 13:41:00,0.00084195
2026-04-01 13:42:00,0.0013919
2026-04-01 13:43:00,0.00082214
2026-04-01 13:44:00,0.0013149
2026-04-01 13:45:00,0.0013917
2026-04-01 13:46:00,0.0019335
2026-04-01 13:47:00,0.0030122
2026-04-01 13:48:00,0.0046891
2026-04-01 13:49:00,0.0069301
2026-04-01 13:50:00,0.0099846
2026-04-01 13:51:00,0.012186
2026-04-01 13:52:00,0.015085
2026-04-01 13:53:00,0.017008
2026-04-01 13:54:00,0.017836
2026-04-01 13:55:00,0.018104
2026-04-01 13:56:00,0.016925
2026-04-01 13:57:00,0.015114
2026-04-01 13:58:00,0.011659
2026-04-01 13:59:00,0.0070168
2026-04-01 14:00:00,0.0021624
2026-04-01 14:01:00,-0.0035698
2026-04-01 14:02:00,-0.0094582
2026-04-01 14:03:00,-0.014292
2026-04-01 14:04:00,-0.018088
2026-04-01 14:05:00,-0.021431
2026-04-01 14:06:00,-0.023395
2026-04-01 14:07:00,-0.023628
2026-04-01 14:08:00,-0.022238
2026-04-01 14:09:00,-0.019849
2026-04-01 14:10:00,-0.016377
2026-04-01 14:11:00,-0.0122
2026-04-01 14:12:00,-0.0058097
2026-04-01 14:13:00,0.0029184
2026-04-01 14:14:00,0.00811
2026-04-01 14:15:00,0.0020183
2026-04-01 14:16:00,-0.0062747
2026-04-01 14:17:00,-0.002319
2026-04-01 14:18:00,0.0035168
2026-04-01 14:19:00,0.0032254
2026-04-01 14:20:00,0.0089199
2026-04-01 14:21:00,0.0099768
2026-04-01 14:22:00,0.0061322
2026-04-01 14:23:00,0.00075368
2026-04-01 14:24:00,0.00090946
2026-04-01 14:25:00,0.0071332
2026-04-01 14:26:00,0.007672
2026-04-01 14:27:00,0.0059549
2026-04-01 14:28:00,8.6589e-05
2026-04-01 14:29:00,-0.0051336
2026-04-01 14:30:00,-0.001353
2026-04-01 14:31:00,0.0021555
2026-04-01 14:32:00,0.0022748
2026-04-01 14:33:00,0.0010428
2026-04-01 14:34:00,0.0019726
2026-04-01 14:35:00,0.0043742
2026-04-01 14:36:00,0.00083173
2026-04-01 14:37:00,-0.0014136
2026-04-01 14:38:00,-0.00042696
2026-04-01 14:39:00,7.858e-05
2026-04-01 14:40:00,-0.00069201
2026-04-01 14:41:00,0.0015541
2026-04-01 14:42:00,0.0013416
2026-04-01 14:43:00,-0.00084572
2026-04-01 14:44:00,-0.00076779
2026-04-01 14:45:00,-0.0023678
2026-04-01 14:46:00,-0.0041354
2026-04-01 14:47:00,-0.002179
2026-04-01 14:48:00,-0.0035463
2026-04-01 14:49:00,-0.0037893
2026-04-01 14:50:00,-0.0029333
2026-04-01 14:51:00,-0.0018574
2026-04-01 14:52:00,0.0032878
2026-04-01 14:53:00,0.0029936
2026-04-01 14:54:00,-0.0002177
2026-04-01 14:55:00,-0.0060206
2026-04-01 14:56:00,-0.0063937
2026-04-01 14:57:00,-0.0018834
2026-04-01 14:58:00,0.00075069
2026-04-01 14:59:00,-0.0013039
2026-04-01 15:00:00,-0.0024645
