time_utc,amp_m
2026-04-01 12:00:00,-0.014249
2026-04-01 12:01:00,-0.014074
2026-04-01 12:02:00,-0.014026
2026-04-01 12:03:00,-0.013947
2026-04-01 12:04:00,-0.013839
2026-04-01 12:05:00,-0.013679
2026-04-01 12:06:00,-0.0095045
2026-04-01 12:07:00,-0.0092191
2026-04-01 12:08:00,-0.0085821
2026-04-01 12:09:00,-0.0092744
2026-04-01 12:10:00,-0.0090468
2026-04-01 12:11:00,-0.0095497
2026-04-01 12:12:00,-0.0094761
2026-04-01 12:13:00,-0.0093968
2026-04-01 12:14:00,-0.0093402
2026-04-01 12:15:00,-0.0088865
2026-04-01 12:16:00,-0.0075831
2026-04-01 12:17:00,-0.0045786
2026-04-01 12:18:00,0.0037323
2026-04-01 12:19:00,0.02119
2026-04-01 12:20:00,0.040065
2026-04-01 12:21:00,0.048422
2026-04-01 12:22:00,0.068923
2026-04-01 12:23:00,0.073183
2026-04-01 12:24:00,0.06751
2026-04-01 12:25:00,0.059856
2026-04-01 12:26:00,0.055087
2026-04-01 12:27:00,0.058213
2026-04-01 12:28:00,0.070803
2026-04-01 12:29:00,0.086519
2026-04-01 12:30:00,0.099619
2026-04-01 12:31:00,0.098492
2026-04-01 12:32:00,0.097331
2026-04-01 12:33:00,0.10554
2026-04-01 12:34:00,0.088084
2026-04-01 12:35:00,0.070946
2026-04-01 12:36:00,0.057563
2026-04-01 12:37:00,0.042576
2026-04-01 12:38:00,0.017736
2026-04-01 12:39:00,-0.026519
2026-04-01 12:40:00,-0.045926
2026-04-01 12:41:00,-0.053041
2026-04-01 12:42:00,-0.072381
2026-04-01 12:43:00,-0.096511
2026-04-01 12:44:00,-0.084391
2026-04-01 12:45:00,-0.061058
2026-04-01 12:46:00,-0.046921
2026-04-01 12:47:00,-0.04041
2026-04-01 12:48:00,-0.027189
2026-04-01 12:49:00,-0.014439
2026-04-01 12:50:00,-0.0021589
2026-04-01 12:51:00,0.0002222
2026-04-01 12:52:00,0.010521
2026-04-01 12:53:00,0.0083352
2026-04-01 12:54:00,0.0035248
2026-04-01 12:55:00,0.0010026
2026-04-01 12:56:00,-0.00073479
2026-04-01 12:57:00,-0.0036531
2026-04-01 12:58:00,-0.0035371
2026-04-01 12:59:00,-0.0034484
2026-04-01 13:00:00,-0.0031523
2026-04-01 13:01:00,-0.0021685
2026-04-01 13:02:00,-0.0035554
2026-04-01 13:03:00,-0.0006037
2026-04-01 13:04:00,0.0033334
2026-04-01 13:05:00,0.0062207
2026-04-01 13:06:00,0.010723
2026-04-01 13:07:00,0.017764
2026-04-01 13:08:00,0.017232
2026-04-01 13:09:00,0.012944
2026-04-01 13:10:00,0.011832
2026-04-01 13:11:00,0.010102
2026-04-01 13:12:00,0.009273
2026-04-01 13:13:00,0.010173
2026-04-01 13:14:00,0.01364
2026-04-01 13:15:00,0.01443
2026-04-01 13:16:00,0.016473
2026-04-01 13:17:00,0.021231
2026-04-01 13:18:00,0.023825
2026-04-01 13:19:00,0.023524
2026-04-01 13:20:00,0.024205
2026-04-01 13:21:00,0.023191
2026-04-01 13:22:00,0.019028
2026-04-01 13:23:00,0.012506
2026-04-01 13:24:00,0.0051797
2026-04-01 13:25:00,0.0017367
2026-04-01 13:26:00,-0.0013603
2026-04-01 13:27:00,-0.0055205
2026-04-01 13:28:00,-0.0069316
2026-04-01 13:29:00,-0.0065673
2026-04-01 13:30:00,-0.0081785
2026-04-01 13:31:00,-0.0077889
2026-04-01 13:32:00,-0.0067673
2026-04-01 13:33:00,-0.0047417
2026-04-01 13:34:00,-0.0025635
2026-04-01 13:35:00,-0.00016033
2026-04-01 13:36:00,0.0021627
2026-04-01 13:37:00,0.0027939
2026-04-01 13:38:00,0.0020375
2026-04-01 13:39:00,0.0010091
2026-04-01 13:40:00,0.00028581
2026-04-01 13:41:00,0.0012666
2026-04-01 13:42:00,0.0016599
2026-04-01 13:43:00,0.0014291
2026-04-01 13:44:00,2.3736e-05
2026-04-01 13:45:00,-0.00043946
2026-04-01 13:46:00,0.00067996
2026-04-01 13:47:00,0.00024063
2026-04-01 13:48:00,-0.00030307
2026-04-01 13:49:00,-0.00013213
